fecha,tuits_negativos,indice,recoleccion_promedio,tipo_usuario,lugar,tuits_positivos
2015-12-28,108521,2.63544523473959,131117,todos,NAC,284830
2016-01-04,301993,2.33534582196955,143685.428571429,todos,NAC,703805
2016-01-11,304984,2.23699615574248,140223.857142857,todos,NAC,676583
2016-01-18,278308,2.3190061454297,131633.857142857,todos,NAC,643129
2016-01-25,275699,2.40913146334591,133824,todos,NAC,661069
2016-02-01,261224,2.47974716498332,129372.142857143,todos,NAC,644381
2016-02-08,274445,2.59737170531254,141001.571428571,todos,NAC,712566
2016-02-15,280310,2.39482139188407,135847.571428571,todos,NAC,670623
2016-02-22,241388,2.47248584035917,119911.285714286,todos,NAC,597991
2016-02-29,276418,2.52156357458805,138938.857142857,todos,NAC,696154
2016-03-07,294182,2.36680397531346,140824.142857143,todos,NAC,691587
2016-03-14,292410,2.40476813047648,141558.142857143,todos,NAC,698497
2016-03-21,279907,2.4745740972407,138576.285714286,todos,NAC,690127
2016-03-28,322223,2.25167757222227,149551.428571429,todos,NAC,724637
2016-04-04,334776,2.18098551836689,151370.714285714,todos,NAC,724819
2016-04-11,313866,2.26913101319493,146050.857142857,todos,NAC,708490
2016-04-18,310928,2.27302624585243,145037,todos,NAC,704331
2016-04-25,315602,2.36618899212694,151280.714285714,todos,NAC,743363
2016-05-02,319036,2.48456795260756,158886.142857143,todos,NAC,793167
2016-05-09,337177,2.30502868596161,159084.714285714,todos,NAC,776416
2016-05-16,332946,2.20421406738386,152293.428571429,todos,NAC,733108
2016-05-23,340086,2.0979938442719,150467.714285714,todos,NAC,713188
2016-05-30,343445,2.25076526248662,159295.857142857,todos,NAC,771626
2016-06-06,306241,2.49838644294519,153214.714285714,todos,NAC,766262
2016-06-13,352030,2.08172743276256,154638.571428571,todos,NAC,730440
2016-06-20,342632,2.23979049116782,157976.571428571,todos,NAC,763204
2016-06-27,342421,2.26830657911781,159491,todos,NAC,774016
2016-07-04,293606,2.26068158431537,135276.571428571,todos,NAC,653330
2016-07-11,323353,2.30027013270935,152022.285714286,todos,NAC,740803
2016-07-18,318494,2.34376811783189,151864.571428571,todos,NAC,744558
2016-07-25,326308,2.25155172392766,151407.571428571,todos,NAC,733545
2016-08-01,330013,2.24611965541554,152981.714285714,todos,NAC,740859
2016-08-08,319344,2.39097818832384,154030.714285714,todos,NAC,758871
2016-08-15,312105,2.23323493999881,143937.714285714,todos,NAC,695459
2016-08-22,308850,2.08910275139289,135989.714285714,todos,NAC,643078
2016-08-29,303045,2.0999090095145,133431.714285714,todos,NAC,630977
2016-09-05,300439,2.10646276838932,133127.714285714,todos,NAC,631455
2016-09-12,283347,2.21189596423114,129693.857142857,todos,NAC,624510
2016-09-19,292907,2.11688588471498,130096.285714286,todos,NAC,617767
2016-09-26,284709,2.19887893937368,129677.714285714,todos,NAC,623035
2016-10-03,271283,2.25326251714375,125888.428571429,todos,NAC,609936
2016-10-10,259207,2.25368201947295,120111.428571429,todos,NAC,581573
2016-10-17,259189,2.22815964229995,119199.714285714,todos,NAC,575209
2016-10-24,257006,2.2872410903347,120039.857142857,todos,NAC,583273
2016-10-31,266628,2.18444292663501,121068.142857143,todos,NAC,580849
2016-11-07,275394,2.12860759858814,121230.285714286,todos,NAC,573218
2016-11-14,243518,2.29820570018126,114478.714285714,todos,NAC,557833
2016-11-21,254651,2.24401191389572,117935.142857143,todos,NAC,570895
2016-11-28,245989,2.20510578315849,112288.571428571,todos,NAC,540031
2016-12-05,235668,2.24443166834879,108923,todos,NAC,526793
2016-12-12,209114,2.26400016400485,96812.2857142857,todos,NAC,468572
2016-12-19,238462,2.31783239878101,112584.428571429,todos,NAC,549629
2016-12-26,238665,2.38039586883634,114647.714285714,todos,NAC,563869
2017-01-02,279476,1.99283075321526,118206.857142857,todos,NAC,547972
2017-01-09,245687,2.1722094694182,111103.285714286,todos,NAC,532036
2017-01-16,244402,2.15311069166718,109580.142857143,todos,NAC,522659
2017-01-23,245027,2.22189854723324,112434,todos,NAC,542011
2017-01-30,220576,2.32415639808839,104407.571428571,todos,NAC,510277
2017-02-06,207337,2.29941181584845,97533.5714285714,todos,NAC,475398
2017-02-13,205041,2.37014121577779,98666.8571428571,todos,NAC,485627
2017-02-20,216551,2.35506118770271,103649.714285714,todos,NAC,508997
2017-02-27,202416,2.31041708029207,95663.8571428571,todos,NAC,467231
2017-03-06,216127,2.20079185762115,98689.4285714286,todos,NAC,474699
2017-03-13,207943,2.28513508322192,97316.1428571429,todos,NAC,473270
2017-03-20,199503,2.28465293766618,93377.5714285714,todos,NAC,454140
2017-03-27,195761,2.24975470955385,90599.5714285714,todos,NAC,438436
2017-04-03,203336,2.1757976682957,91908,todos,NAC,440020
2017-04-10,203018,2.27716161015654,94851.4285714286,todos,NAC,460942
2017-04-17,217785,2.2053617294065,99445.8571428571,todos,NAC,478336
2017-04-24,203529,2.36918002653727,97328.5714285714,todos,NAC,477771
2017-05-01,204322,2.34388458772586,97382.2857142857,todos,NAC,477354
2017-05-08,226288,2.27816112634817,106075.571428571,todos,NAC,516241
2017-05-15,215863,2.45545255091394,106116.571428571,todos,NAC,526953
2017-05-22,210580,2.33384142025672,99996.4285714286,todos,NAC,489395
2017-05-29,212677,2.3769043290098,102373.285714286,todos,NAC,503936
2017-06-05,207114,2.25623006518127,96000.2857142857,todos,NAC,464888
2017-06-12,211999,2.22491065355311,97585.4285714286,todos,NAC,471099
2017-06-19,222514,2.21486872679358,102045,todos,NAC,491801
2017-06-26,236760,2.11175468638046,104587,todos,NAC,495349
2017-07-03,225890,2.16297340507215,101914.714285714,todos,NAC,487513
2017-07-10,236003,2.13156529477203,105268.714285714,todos,NAC,500878
2017-07-17,238461,2.21224944501035,109288.714285714,todos,NAC,526560
2017-07-24,224453,2.19141214858635,102088.714285714,todos,NAC,490168
2017-07-31,215243,2.19932266588579,98094.2857142857,todos,NAC,471417
