estados,Precio,land_area,build_area,bedrooms,bathrooms,half_bathrooms,garages,Publicacion,Pisos
AGUASCALIENTES,8500000,980,500,4,5,1,3,22,2
AGUASCALIENTES,1100000,130,250,3,1,1,2,52,2
AGUASCALIENTES,2017000,313,300,2,1,0,2,11,1
AGUASCALIENTES,4200000,450,390,3,2,1,0,4,1
AGUASCALIENTES,789783,90,161,3,3,0,1,54,1
AGUASCALIENTES,1320000,228,200,4,2,0,2,4,1
AGUASCALIENTES,7500000,2000,550,3,3,1,3,0,1
AGUASCALIENTES,1100000,133,122,3,2,0,2,22,1
AGUASCALIENTES,2850000,170,480,1,0,0,0,19,1
AGUASCALIENTES,680000,90,96,4,0,0,0,0,2
AGUASCALIENTES,790000,250,146,3,2,1,0,4,1
AGUASCALIENTES,2900000,340,198,3,2,0,2,55,1
AGUASCALIENTES,1523676,120,210,4,2,0,2,15,1
AGUASCALIENTES,5000000,450,360,4,3,1,0,6,1
AGUASCALIENTES,450000,97,77,2,1,0,1,57,1
AGUASCALIENTES,1600000,574,336,4,7,0,7,6,2
AGUASCALIENTES,1600000,220,230,3,2,1,0,4,2
AGUASCALIENTES,1550000,106,162,5,2,0,1,35,2
AGUASCALIENTES,840000,102,75,2,2,1,2,22,1
AGUASCALIENTES,485000,75,120,3,2,0,1,11,3
AGUASCALIENTES,1400000,162,138,3,2,5,2,47,1
AGUASCALIENTES,3950000,424,390,5,5,0,3,35,3
AGUASCALIENTES,895000,180,93,3,2,0,3,3,2
AGUASCALIENTES,5500000,490,475,3,4,1,3,18,1
AGUASCALIENTES,2000000,170,185,4,3,0,3,0,1
AGUASCALIENTES,1450000,135,165,3,2,1,2,11,1
AGUASCALIENTES,1930000,194,179,3,2,0,2,19,1
AGUASCALIENTES,2300000,160,234,4,3,1,2,41,3
AGUASCALIENTES,14900000,2515,1074,3,5,2,3,6,2
AGUASCALIENTES,5300000,550,550,4,3,0,2,28,1
AGUASCALIENTES,5000000,1375,700,3,3,1,0,6,1
AGUASCALIENTES,2200000,270,220,3,2,1,2,28,2
AGUASCALIENTES,3000000,250,320,3,2,1,2,0,1
AGUASCALIENTES,2490000,408,324,5,3,0,1,35,1
AGUASCALIENTES,550000,90,170,3,1,1,1,35,2
AGUASCALIENTES,4500000,169,489,5,6,0,3,19,1
AGUASCALIENTES,1850000,258,178,3,2,0,1,19,1
AGUASCALIENTES,449500,120,80,2,1,0,1,0,1
AGUASCALIENTES,9500000,1200,630,3,5,1,4,12,2
AGUASCALIENTES,3500000,320,350,3,3,1,2,2,2
AGUASCALIENTES,850000,90,165,3,2,0,1,19,1
AGUASCALIENTES,426000,105,85,2,1,0,1,57,1
AGUASCALIENTES,1300000,135,110,3,2,0,1,55,1
AGUASCALIENTES,4200000,3303,439,6,3,0,5,19,1
AGUASCALIENTES,4950000,600,814,5,3,5,4,4,1
AGUASCALIENTES,569000,90,132,3,1,0,2,19,1
AGUASCALIENTES,6650000,300,380,4,4,0,0,4,1
AGUASCALIENTES,2500000,300,345,4,2,1,4,4,2
AGUASCALIENTES,1180000,120,180,3,2,0,1,5,1
AGUASCALIENTES,895000,180,93,3,2,0,3,3,2
AGUASCALIENTES,2300000,308,280,5,3,1,2,4,2
AGUASCALIENTES,830000,92,72,2,1,1,0,4,1
AGUASCALIENTES,690000,93,93,3,2,0,1,19,1
AGUASCALIENTES,699000,180,340,4,2,0,0,19,1
AGUASCALIENTES,550000,91,65,2,0,0,1,40,1
AGUASCALIENTES,11400000,450,800,3,4,0,2,19,1
AGUASCALIENTES,2650000,445,421,5,3,0,4,55,1
AGUASCALIENTES,480000,90,60,2,1,0,1,5,1
AGUASCALIENTES,5100000,1182,300,5,4,0,2,28,2
AGUASCALIENTES,4950000,600,814,5,3,5,4,2,1
AGUASCALIENTES,2400000,250,333,5,4,1,3,0,2
AGUASCALIENTES,1870000,303,139,3,2,0,0,0,1
AGUASCALIENTES,900000,383,70,1,2,0,2,19,1
AGUASCALIENTES,3990000,447,316,4,3,0,2,22,1
AGUASCALIENTES,1490000,160,245,3,2,0,3,35,2
AGUASCALIENTES,4800000,880,960,5,4,1,4,4,1
AGUASCALIENTES,593000,108,85,3,1,0,2,19,1
AGUASCALIENTES,2600000,1000,500,5,2,1,5,0,1
AGUASCALIENTES,1400000,207,272,4,2,1,1,0,1
AGUASCALIENTES,992880,283,207,5,2,0,0,54,1
AGUASCALIENTES,950000,148,127,3,2,0,0,4,1
AGUASCALIENTES,3500000,250,310,3,4,0,2,28,2
